kode,navn,definition,kommentar,virkningFra,virkningTil
"1","Intern forberedelse","","","2015-10-01",""
"2","Foreløbig","","","2015-10-01",""
"3","Gældende","","","2015-10-01",""
"4","Nedlagt","","","2015-10-01",""
"5","Henlagt","","","2015-10-01",""
"6","Slettet","","","2015-10-01",""
"7","Ikke i brug","","","2015-10-01",""
"8","I brug","","","2015-10-01",""
"9","Udgået","","","2015-10-01",""
"10","Udløbet","","","2015-10-01",""
"11","Ophævet","","","2015-10-01",""
