kode,navn,definition,kommentar,virkningFra,virkningTil
"historisk","historisk","tidligere skrivemåde, der muligvis stadig er i brug i befolkningen","","2015-03-26",""
"iAnvendelse","i anvendelse","stednavnet er i brug i befolkningen","","2015-03-26",""
