kode,navn,definition,kommentar,virkningFra,virkningTil
"Dagisyseditor","Dagisyseditor","Ændringen er foretaget i DAGIs forvaltningssystem","","2025-10-01",""
"DAGIGeneralisering","DAGIGeneralisering","Ændringen er foretaget af DAGIs system til generalisering","Relevant for entiteterne: Afstemningsområde_2000000 Afstemningsområde_250000 Afstemningsområde_500000 Danmark_2000000 Danmark_250000 Danmark_500000 Kommuneinddeling_2000000 Kommuneinddeling_250000 Kommuneinddeling_500000 Landsdel_2000000 Landsdel_250000 Landsdel_500000 Opstillingskreds_2000000 Opstillingskreds_250000 Opstillingskreds_500000 Politikreds_2000000 Politikreds_250000 Politikreds_500000 Postnummerinddeling_2000000 Postnummerinddeling_250000 Postnummerinddeling_500000 Regionsinddeling_2000000 Regionsinddeling_250000 Regionsinddeling_500000 Retskreds_2000000 Retskreds_250000 Retskreds_500000 Sogneinddeling_2000000 Sogneinddeling_250000 Sogneinddeling_500000 Storkreds_2000000 Storkreds_250000 Storkreds_500000 SupplerendeBynavn_2000000 SupplerendeBynavn_250000 SupplerendeBynavn_500000 Valglandsdel_2000000 Valglandsdel_250000 Valglandsdel_500000","2025-10-01",""
"gadepostnummerService","gadepostnummerService","Ændringen er foretaget via Danmarks Adresseregister","Kun relevant for Postnummerinddeling","2025-10-01",""
