kode,navn,definition,kommentar,virkningFra,virkningTil
"54.15.10.25","Danmarks Adresse Register, DAR","","","2015-10-01",""
"54.15.10.15","Postnumre","","","2015-10-01",""
"54.15.10.06","Vejnavne og vejkoder","","","2015-10-01",""
"54.15.10.07","Husnummer","","","2015-10-01",""
"54.15.10.08","Adresser","","","2015-10-01",""
"00.00.00.00","00.00.00.00","","","2015-10-01",""
"10.00.00.00","10.00.00.00","","","2015-10-01",""
