kode,navn,definition,kommentar,virkningFra,virkningTil
"Indenrigsministeriet","Indenrigsministeriet","Ændringer foretaget på vegne af Indenrigsministeriet ved ændret bekendtgørelse","","2025-01-10",""
"Geodatastyrelsen","Geodatastyrelsen","Værdien sættes ved matrikulære ændringer i Sogneinddelinger","","2025-01-10",""
"DAGI-myndigheden","DAGI-myndigheden","Ændringer foretaget på vegne af DAGI-myndigheden","","2025-01-10",""
"Kommunen","Kommunen","Ænringer foretaget af den enkelte kommune eller på vegne af kommunen","","2025-01-10",""
"Kirkeministeriet","Kirkeministeriet","Ændringer foretaget på vegne af Trafikstyrellsen ved ændringer i Postnummer","","2025-01-10",""
"Trafikstyrelsen","Trafikstyrelsen","Ændringer foretaget på vegne af Kirkeministeriet ved ændringer i Sogneinddelinger","","2025-01-10",""
